attribute	full_data_n27	cluster_0_n4	cluster_1_n5	cluster_2_n18
1999_TOTAL	95789.7074	389005.0567	105833.354	27840.839
2004_TOTAL	107705.0059	443861.3075	111095.2258	32061.8778
2009_TOTAL	105425.7403	429914.0287	112483.531	31356.7343
2014_TOTAL	105992.6644	439841.4402	110812.61	30465.1737
2019_TOTAL	107695.6066	436335.83	124342.8204	30040.2197
2024_TOTAL	104767.9408	410958.8115	125645.4572	30926.2149
2024_fuel_Nuclear	24057.2534	108745.8682	17098.6384	7170.5099
2024_fuel_Natural_Gas	16414.4072	69868.6953	17309.934	4286.9191
2024_fuel_Solid_Fossil_Fuels	10070.0643	28470.8792	20202.4876	3166.4322
2024_fuel_Lignite	6112.0017	19626	7264.0048	2788.8901
2024_fuel_Oil_Petroleum_excl_Biofuels	1693.8607	6956.706	951.9372	730.4294
2024_fuel_Renewables_Biofuels	49352.3047	185106.984	65733.5472	14634.2531
2024_fuel_Hydro	13691.0849	45621.6053	22613.5408	4116.9537
2024_fuel_Wind	18149.5369	67706.265	24431.5102	5391.9381
2024_fuel_Solar_Thermal	168.1493	1135.0075	0	0
2024_fuel_Solar_Photovoltaic	11258.4026	47546.8713	12070.6658	2968.6697
2024_fuel_Bioenergy	5966.4203	22139.6208	6718.5252	2163.4577
2024_fuel_Waste	742.3678	2913.1985	1095.5604	161.8519
2024_fuel_Batteries	38.5543	128.4903	82.2266	6.4373
